name_of_city,state_name,population_total,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_female,total_graduates
Ambala ,HARYANA,196216,895,88.23,84.51,34943
Ambala Sadar ,HARYANA,104268,922,87.97,87.22,20618
Ambarnath ,MAHARASHTRA,254003,910,89.04,83.78,26596
Ambattur ,TAMIL NADU,478134,982,92.69,89.62,97186
Ambikapur ,CHHATTISGARH,114575,920,88.2,83.29,20857
Ambur ,TAMIL NADU,113856,1031,86.83,82.65,7813
Amravati ,MAHARASHTRA,646801,957,93.03,90.44,91996
Amreli ,GUJARAT,105980,921,89.47,84.75,11305
Amritsar ,PUNJAB,1132761,879,85.27,82.09,140359
Amroha ,UTTAR PRADESH,197135,918,63.88,59.24,13879
Anand ,GUJARAT,197351,928,93.71,90.82,29803
Anantapur ,ANDHRA PRADESH,262340,995,81.88,75.24,43700
Anantnag ,JAMMU & KASHMIR,108505,937,78.95,72.23,12666
Arrah ,BIHAR,261099,874,83.41,76.86,35354
Asansol ,WEST BENGAL,564491,922,84.82,79.73,65625
Ashoknagar Kalyangarh ,WEST BENGAL,123906,981,92.45,89.32,11992
Aurangabad ,BIHAR,101520,904,86.89,80.68,13141
Aurangabad ,MAHARASHTRA,1171330,919,89.13,83.81,159308
Avadi ,TAMIL NADU,344701,969,88.63,84.94,51647
Azamgarh ,UTTAR PRADESH,110980,912,86.43,81.56,19911
Badlapur ,MAHARASHTRA,175516,914,92.38,88.94,25115
Bagaha ,BIHAR,113012,885,60.67,50.79,3744
Bagalkot ,KARNATAKA,112068,972,86.15,79.58,14090
Bahadurgarh ,HARYANA,170426,858,88.04,80.87,22521
Baharampur ,WEST BENGAL,195363,945,90.29,88.09,32154
Bahraich ,UTTAR PRADESH,186241,890,75.03,72.87,20490
Baidyabati ,WEST BENGAL,121081,936,89.08,86.86,17224
Baleshwar Town ,ORISSA,118202,960,88.79,85.22,23170
Ballia ,UTTAR PRADESH,104271,872,86.62,81.51,16114
Bally ,WEST BENGAL,291972,863,83.39,82.56,36100
Bally City,WEST BENGAL,115715,930,90.14,86.43,12354
Balurghat ,WEST BENGAL,151183,998,91.85,89.28,23732
Banda ,UTTAR PRADESH,154388,878,83.3,76.75,24015
Bankura ,WEST BENGAL,138036,951,87.27,81.88,19082
Bansberia ,WEST BENGAL,103799,929,85.73,80.46,8566
Banswara ,RAJASTHAN,100128,954,86.98,81.01,13852
Baran ,RAJASTHAN,118157,926,81.19,71.64,11553
Baranagar ,WEST BENGAL,248466,935,92.46,90.04,49711
Barasat ,WEST BENGAL,283443,972,90.42,87.62,45516
Baraut ,UTTAR PRADESH,102733,884,77.98,70.51,12672
Barddhaman ,WEST BENGAL,314638,959,89.07,85.48,52387
Bareilly ,UTTAR PRADESH,898167,881,70.17,65.75,110691
Baripada Town ,ORISSA,110058,931,89.31,84.88,17589
Barnala ,PUNJAB,116454,869,79.59,75.1,12665
Barrackpur ,WEST BENGAL,154475,943,89.33,86.33,29910
Barshi ,MAHARASHTRA,118573,948,86.47,79.8,13351
Basirhat ,WEST BENGAL,127135,974,88.25,84.88,20037
Basti ,UTTAR PRADESH,114651,907,85.29,79.57,20183
Batala ,PUNJAB,156400,897,85.49,81.81,16436
Bathinda ,PUNJAB,285813,883,82.84,77.16,43428
Beawar ,RAJASTHAN,145809,946,85.96,78.12,13767
Begusarai ,BIHAR,251136,875,79.35,73.25,24616
Belgaum ,KARNATAKA,488292,982,90.49,86.41,64200
Bellary ,KARNATAKA,409644,988,78.26,71.64,36855
Bengaluru,KARNATAKA,8425970,914,89.59,86.25,1591163
Bettiah ,BIHAR,132896,888,82.54,78,13438
Betul ,MADHYA PRADESH,103341,953,90.27,86.11,17125
Bhadrak ,ORISSA,107369,949,80.88,76.23,13311
Bhadravati ,KARNATAKA,150776,1010,86.6,81.7,12406
Bhadreswar ,WEST BENGAL,101334,901,86.89,81.8,9225
Bhagalpur ,BIHAR,398138,878,81.16,76.31,49656
Bhalswa Jahangir Pur ,NCT OF DELHI,197150,855,76.94,69.71,8348
Bharatpur ,RAJASTHAN,252109,880,82.13,72.8,33411
Bharuch ,GUJARAT,168729,942,87.66,83.79,14059
Bhatpara ,WEST BENGAL,390467,878,85.86,81.04,29055
Bhavnagar ,GUJARAT,593768,919,85.62,79.44,51875
Bhilai Nagar ,CHHATTISGARH,625697,942,87.23,80.99,81620
Bhilwara ,RAJASTHAN,360009,915,84.27,76.08,41788
Bhimavaram ,ANDHRA PRADESH,142280,1031,83.41,80.07,18298
Bhind ,MADHYA PRADESH,197332,872,84.2,76.3,20470
Bhiwadi ,RAJASTHAN,104883,755,80.67,70.44,10135
Bhiwandi ,MAHARASHTRA,711329,700,81.53,77.11,24688
Bhiwani ,HARYANA,197662,876,84.39,77.56,28123
Bhopal ,MADHYA PRADESH,1795648,911,85.24,80.9,282813
Bhubaneswar Town ,ORISSA,837737,882,93.15,90.26,200788
Bhuj ,GUJARAT,147123,889,87.5,82.1,16457
Bhusawal ,MAHARASHTRA,187750,942,90.37,85.89,19815
Bid ,MAHARASHTRA,146237,933,88.56,82.81,19030
Bidar ,KARNATAKA,211944,937,87.65,82.08,25910
Bidhan Nagar ,WEST BENGAL,218323,960,90.44,87.69,65863
Biharsharif ,BIHAR,296889,916,74.8,65.39,28092
Bijapur ,KARNATAKA,326360,976,83.43,77.86,37265
Bikaner ,RAJASTHAN,647804,900,79.86,71.77,73369
Bilaspur ,CHHATTISGARH,330106,945,88.76,83.51,67396
Bokaro Steel City ,JHARKHAND,413934,881,84.94,76.54,61034
Bongaon ,WEST BENGAL,110668,962,90.25,86.58,10286
Botad ,GUJARAT,130302,922,83.21,75.4,4578
Brahmapur Town ,ORISSA,355823,917,90.04,85.92,50782
Budaun ,UTTAR PRADESH,159221,907,73,68.97,19204
Bulandshahr ,UTTAR PRADESH,222826,906,78.98,71.86,32546
Bundi ,RAJASTHAN,102823,929,83.15,74.81,13148
Burari ,NCT OF DELHI,145584,872,88.81,82.47,17914
Burhanpur ,MADHYA PRADESH,210891,948,81.7,76.73,15203
Buxar ,BIHAR,102591,896,85.16,78.76,12464
Champdani ,WEST BENGAL,110983,872,82.39,75.91,7167
Chandannagar ,WEST BENGAL,166949,981,90.62,87.98,30933
Chandausi ,UTTAR PRADESH,114254,897,72.63,68.02,15436
Chandigarh ,CHANDIGARH,960787,829,86.77,81.88,189312
Chandrapur ,MAHARASHTRA,321036,944,90.81,85.83,37686
